date,region,channel,product_category,customer_segment,revenue,units
2026-05-01,North America,Retail,Electronics,Consumer,1005.28,43
2026-05-01,North America,Retail,Electronics,SMB,1281.03,59
2026-05-01,North America,Retail,Electronics,Enterprise,1217.45,29
2026-05-01,North America,Retail,Apparel,Consumer,509.64,28
2026-05-01,North America,Retail,Apparel,SMB,846.06,39
2026-05-01,North America,Retail,Apparel,Enterprise,799.34,26
2026-05-01,North America,Retail,Home Goods,Consumer,845.18,24
2026-05-01,North America,Retail,Home Goods,SMB,1094.59,34
2026-05-01,North America,Retail,Home Goods,Enterprise,1036.02,26
2026-05-01,North America,Retail,Grocery,Consumer,664.04,43
2026-05-01,North America,Retail,Grocery,SMB,920.56,36
2026-05-01,North America,Retail,Grocery,Enterprise,719.35,36
2026-05-01,North America,Online,Electronics,Consumer,1092.34,61
2026-05-01,North America,Online,Electronics,SMB,395.24,22
2026-05-01,North America,Online,Electronics,Enterprise,1311.23,33
2026-05-01,North America,Online,Apparel,Consumer,531.08,14
2026-05-01,North America,Online,Apparel,SMB,683.7,25
2026-05-01,North America,Online,Apparel,Enterprise,757.35,23
2026-05-01,North America,Online,Home Goods,Consumer,849.89,20
2026-05-01,North America,Online,Home Goods,SMB,982.79,30
2026-05-01,North America,Online,Home Goods,Enterprise,1012.96,46
2026-05-01,North America,Online,Grocery,Consumer,590.78,24
2026-05-01,North America,Online,Grocery,SMB,932.3,51
2026-05-01,North America,Online,Grocery,Enterprise,840.9,36
2026-05-01,North America,Wholesale,Electronics,Consumer,417.93,16
2026-05-01,North America,Wholesale,Electronics,SMB,680.56,31
2026-05-01,North America,Wholesale,Electronics,Enterprise,639.93,18
2026-05-01,North America,Wholesale,Apparel,Consumer,1070.55,32
2026-05-01,North America,Wholesale,Apparel,SMB,1256.79,63
2026-05-01,North America,Wholesale,Apparel,Enterprise,1241.83,47
2026-05-01,North America,Wholesale,Home Goods,Consumer,1254.49,39
2026-05-01,North America,Wholesale,Home Goods,SMB,504.18,14
2026-05-01,North America,Wholesale,Home Goods,Enterprise,472.47,21
2026-05-01,North America,Wholesale,Grocery,Consumer,817.28,51
2026-05-01,North America,Wholesale,Grocery,SMB,1175.55,55
2026-05-01,North America,Wholesale,Grocery,Enterprise,1202.82,27
2026-05-01,Europe,Retail,Electronics,Consumer,1360.28,39
2026-05-01,Europe,Retail,Electronics,SMB,644.95,24
2026-05-01,Europe,Retail,Electronics,Enterprise,655.39,28
2026-05-01,Europe,Retail,Apparel,Consumer,819.09,36
2026-05-01,Europe,Retail,Apparel,SMB,1074.02,33
2026-05-01,Europe,Retail,Apparel,Enterprise,1045.84,24
2026-05-01,Europe,Retail,Home Goods,Consumer,1032.86,22
2026-05-01,Europe,Retail,Home Goods,SMB,479.43,15
2026-05-01,Europe,Retail,Home Goods,Enterprise,1322.08,72
2026-05-01,Europe,Retail,Grocery,Consumer,891.83,26
2026-05-01,Europe,Retail,Grocery,SMB,1187.44,70
2026-05-01,Europe,Retail,Grocery,Enterprise,1004.6,37
2026-05-01,Europe,Online,Electronics,Consumer,439.26,9
2026-05-01,Europe,Online,Electronics,SMB,680.37,16
2026-05-01,Europe,Online,Electronics,Enterprise,691.12,19
2026-05-01,Europe,Online,Apparel,Consumer,869.94,27
2026-05-01,Europe,Online,Apparel,SMB,1130.18,61
2026-05-01,Europe,Online,Apparel,Enterprise,1197.41,42
2026-05-01,Europe,Online,Home Goods,Consumer,879.58,21
2026-05-01,Europe,Online,Home Goods,SMB,494.62,21
2026-05-01,Europe,Online,Home Goods,Enterprise,1233.8,29
2026-05-01,Europe,Online,Grocery,Consumer,883.84,21
2026-05-01,Europe,Online,Grocery,SMB,1126.09,33
2026-05-01,Europe,Online,Grocery,Enterprise,1216.51,62
2026-05-01,Europe,Wholesale,Electronics,Consumer,724.62,18
2026-05-01,Europe,Wholesale,Electronics,SMB,901.6,29
2026-05-01,Europe,Wholesale,Electronics,Enterprise,998.0,64
2026-05-01,Europe,Wholesale,Apparel,Consumer,1181.3,27
2026-05-01,Europe,Wholesale,Apparel,SMB,624.51,25
2026-05-01,Europe,Wholesale,Apparel,Enterprise,442.5,26
2026-05-01,Europe,Wholesale,Home Goods,Consumer,575.53,32
2026-05-01,Europe,Wholesale,Home Goods,SMB,681.17,23
2026-05-01,Europe,Wholesale,Home Goods,Enterprise,806.09,21
2026-05-01,Europe,Wholesale,Grocery,Consumer,1271.56,67
2026-05-01,Europe,Wholesale,Grocery,SMB,526.59,22
2026-05-01,Europe,Wholesale,Grocery,Enterprise,524.07,12
2026-05-01,APAC,Retail,Electronics,Consumer,902.61,28
2026-05-01,APAC,Retail,Electronics,SMB,1262.55,34
2026-05-01,APAC,Retail,Electronics,Enterprise,1186.28,26
